,Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,No_of_Expected_Days_to_stay,Checking_Month,no_of_days_from_booking_to_ckeckin,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
29,65535117,2,66,1,1,3,3,2,2,7,97,2,1,0,1,0,0,1,1,1,2,0,0,218
30,72188000,2,44,1,3,1,1,3,3,7,115,2,1,0,1,0,0,1,1,1,2,1,20,191
31,34053875,1,43,1,3,2,2,3,1,7,94,5,2,0,1,0,0,0,1,1,2,1,25,154
32,95959457,1,29,4,2,2,3,3,1,5,95,3,2,0,1,0,0,1,1,1,2,0,0,173
33,33334436,1,54,4,2,3,3,3,1,7,68,4,2,1,1,1,0,0,1,1,2,0,0,216
34,97828465,1,48,2,2,3,3,1,3,5,42,3,2,1,1,0,0,0,1,1,2,1,5,103
35,70532206,1,43,1,1,3,2,3,1,6,39,3,1,0,1,0,0,0,1,0,2,1,25,246
36,98511366,1,43,2,4,4,3,3,3,7,12,5,2,0,1,0,0,0,0,1,2,0,0,156
37,62860295,1,23,3,3,3,1,1,1,7,35,3,1,0,1,1,0,0,1,0,2,1,10,237
38,47244513,2,43,3,2,2,3,1,4,5,39,4,2,1,1,1,0,0,2,0,2,0,0,166
39,5385714,2,21,2,1,3,3,3,4,7,66,1,2,1,0,0,0,0,0,1,2,1,25,208
40,95106668,1,35,3,2,2,3,3,1,5,44,1,1,0,1,0,0,2,1,1,2,1,30,159
41,140349,1,36,2,2,2,3,2,3,7,42,2,2,0,1,0,0,0,1,0,2,1,10,188
42,7709904,1,51,3,1,3,2,2,1,7,15,2,1,0,1,0,0,0,0,1,2,1,20,134
43,89888538,1,29,2,1,3,1,3,1,7,69,2,1,0,0,1,1,0,1,1,2,1,20,218
44,37320420,1,68,2,3,3,2,3,4,7,103,1,2,1,1,0,0,0,0,1,2,0,0,101
45,94772738,2,44,4,1,3,4,2,3,6,44,2,1,0,1,0,0,1,0,1,2,0,0,124
46,67740487,1,62,2,3,1,3,2,2,7,94,3,2,1,1,1,0,0,1,1,2,1,10,243
47,56263406,2,68,1,3,1,3,3,1,7,112,1,1,1,1,0,0,1,1,1,2,1,25,238
48,93676283,2,69,2,4,1,3,2,4,7,86,2,2,0,0,0,0,0,1,1,2,0,0,150
49,73719356,1,66,3,4,4,1,3,1,7,49,1,2,0,0,0,0,0,0,1,2,1,5,111
50,62215136,1,32,4,4,3,3,2,3,7,110,2,2,0,1,1,0,0,1,1,2,1,20,240
51,53295296,2,59,1,3,2,3,3,1,7,92,3,1,0,1,0,0,0,1,0,2,1,40,237
52,21196935,2,44,3,1,3,4,1,1,7,75,2,2,0,1,0,0,0,2,1,2,0,0,228
53,6285306,1,48,1,3,3,2,1,1,7,2,2,2,1,1,1,1,0,1,0,2,1,25,175
54,50124298,2,28,3,1,4,1,3,4,7,-3,2,2,0,1,0,0,1,1,1,2,1,15,199
55,44843313,1,67,1,1,3,3,3,1,7,0,2,1,0,1,1,1,1,1,0,2,1,20,158
56,62712158,1,63,2,4,4,1,3,1,7,-1,2,2,1,1,0,0,0,0,1,2,1,10,131
57,62570719,2,38,2,4,3,1,3,1,7,-1,5,1,1,1,1,0,0,1,1,2,1,10,149
58,31873692,2,21,3,4,2,2,1,1,7,-1,2,2,0,1,1,0,1,1,1,2,1,20,140
59,88607277,2,60,1,3,4,3,3,1,7,13,2,1,1,1,0,0,2,1,1,2,1,10,143
60,45408396,1,26,4,3,1,2,1,1,7,9,1,1,0,1,0,0,1,0,1,2,1,5,225
61,60695251,2,52,2,4,4,3,3,1,7,4,3,1,1,1,1,0,2,1,0,2,1,25,201
62,18301716,2,24,2,3,2,3,2,1,7,16,2,2,0,1,1,0,0,0,1,2,0,0,123
63,75436311,2,60,4,2,1,3,3,1,7,92,4,2,0,1,1,1,0,1,1,2,1,25,242
64,51494336,1,26,4,2,2,1,1,2,6,1,1,3,0,0,1,1,1,1,0,2,1,15,179
65,37564720,1,26,3,1,1,1,1,1,7,9,1,1,0,1,1,0,0,0,1,2,1,10,232
66,84070025,1,69,4,4,4,3,3,1,7,2,1,1,2,1,0,0,1,2,1,2,1,30,127
67,58266326,2,56,3,1,1,1,3,1,7,50,3,3,1,1,1,0,0,2,1,2,0,0,204
68,4845332,2,42,1,1,3,2,2,1,6,70,3,1,0,1,1,0,0,0,0,2,1,10,174
69,96798559,1,61,2,1,3,2,2,2,6,61,1,2,0,1,0,0,0,1,1,2,1,10,219
70,75344429,2,63,2,1,3,4,2,1,7,61,1,3,0,1,0,0,0,2,1,2,1,30,146
71,89456553,1,65,3,2,3,2,2,1,6,100,5,1,0,1,0,0,0,0,1,2,1,10,177
72,97707055,2,67,4,1,1,4,2,1,7,1,1,2,1,0,0,0,0,1,0,2,0,0,214
73,66082028,2,55,1,4,1,3,1,2,7,13,4,1,1,1,1,1,0,0,1,2,0,0,200
74,59992741,2,53,4,2,4,3,2,3,6,48,4,1,1,1,0,0,0,2,0,2,0,0,186
75,67830167,1,22,2,3,2,1,2,1,7,2,5,2,0,1,0,0,0,1,1,2,0,0,187
76,61148490,2,46,2,1,2,3,3,3,5,45,2,2,1,1,0,0,0,1,1,2,1,30,212
77,8374938,1,40,4,2,3,3,3,2,7,0,1,3,0,1,1,1,0,1,1,2,0,0,222
78,12091786,1,64,1,2,2,1,2,2,7,70,4,1,0,1,0,0,0,0,1,2,1,20,121
79,7675104,2,44,2,1,2,2,3,1,7,80,5,2,2,1,0,0,0,1,0,2,0,0,203
80,44467998,1,28,2,1,1,3,1,3,7,96,1,2,1,1,1,0,2,1,0,2,1,5,227
81,54294175,2,40,3,1,3,1,3,1,5,367,1,1,0,1,1,1,0,2,1,2,1,20,249
82,37285949,1,21,4,2,4,3,1,3,7,361,2,2,1,1,0,0,0,0,1,2,1,20,243
83,52449633,1,62,1,4,3,3,2,1,6,80,2,1,0,0,1,0,0,1,1,2,1,10,231
84,43700894,2,58,4,2,3,2,2,4,7,95,2,1,0,0,0,0,1,2,1,2,1,25,169
85,19868896,1,34,1,1,1,3,1,1,7,323,1,1,0,0,1,0,1,1,0,2,1,25,188
86,64763276,2,31,2,4,2,2,1,3,7,66,2,2,0,1,0,0,1,1,1,2,1,10,100
87,50935350,2,37,4,1,1,2,1,3,4,76,2,1,1,1,0,0,2,1,0,2,1,40,170
88,59376256,1,51,4,2,1,4,1,3,7,9,2,1,1,1,0,0,0,0,0,2,1,20,146
89,2454990,2,47,1,4,2,4,2,1,7,8,1,1,0,1,0,0,1,1,1,2,1,10,121
90,66392370,2,56,1,4,1,1,1,1,7,0,2,1,0,1,0,0,0,0,1,2,0,0,102
91,41050783,2,51,3,4,1,3,2,2,7,19,1,1,0,1,0,0,0,1,1,2,1,30,138
92,4295644,1,39,3,4,1,3,3,3,7,6,1,1,0,1,0,0,1,2,0,2,1,20,242
93,41547218,2,29,4,1,3,4,2,2,7,107,1,2,1,1,1,1,1,0,0,2,1,5,203
94,5293613,2,46,3,3,2,1,3,1,5,108,2,1,0,1,1,1,0,2,1,2,0,0,235
95,16778927,1,66,3,2,3,4,3,1,6,71,2,1,1,1,0,0,0,1,1,2,1,15,205
96,44624415,2,49,3,2,2,3,2,1,5,62,1,2,1,1,0,0,0,1,1,2,1,5,215
97,1691869,1,38,1,2,4,4,3,2,7,61,2,1,0,0,0,0,1,0,1,2,1,5,240
98,89215770,2,57,1,4,2,3,1,4,7,97,3,1,0,1,0,0,0,1,1,2,1,30,226
99,20176010,2,46,2,1,3,3,1,2,7,100,1,1,2,1,0,0,0,0,1,2,1,10,164
100,40028695,1,59,3,3,3,2,1,2,7,2,4,2,0,1,0,0,2,1,0,2,1,25,204
101,11260215,1,23,4,1,1,3,1,4,7,94,2,2,0,1,0,0,1,1,1,2,0,0,158
102,76318666,1,32,4,3,2,1,2,2,7,90,2,2,0,1,1,1,0,2,1,2,1,15,204
103,56252511,2,28,1,3,1,3,3,1,7,94,3,1,0,1,1,0,0,1,1,2,1,5,117
104,15611316,1,47,2,1,2,4,3,3,7,99,3,1,0,1,0,0,0,0,1,2,1,15,209
105,27064774,2,52,3,4,1,2,2,1,6,25,5,1,0,1,1,0,1,1,0,2,1,10,114
106,46967349,1,35,1,4,2,3,3,1,5,72,2,2,0,0,0,0,0,0,1,2,1,5,229
107,70161171,1,48,2,2,3,1,2,2,4,100,2,2,0,1,1,0,1,1,0,2,0,0,129
108,81928060,1,26,1,3,2,3,2,2,7,113,4,1,0,1,0,0,0,1,1,2,1,25,189
109,20965226,1,30,2,1,1,3,2,1,7,101,2,1,2,1,1,1,0,2,0,2,1,5,247
110,99218933,1,57,2,4,3,3,1,2,7,84,3,3,0,1,1,0,0,0,1,2,0,0,245
111,18472049,1,19,2,1,1,1,1,1,7,77,5,2,0,0,1,1,0,0,1,2,1,20,191
112,54997115,1,22,4,1,2,1,3,1,7,51,2,2,0,1,1,0,0,2,1,2,0,0,214
113,47708934,2,60,2,1,1,2,2,3,7,26,1,2,0,1,1,0,1,0,1,2,1,10,228
114,31956359,1,23,3,4,3,1,1,1,5,100,2,1,0,1,0,0,0,1,1,2,1,20,238
115,85101864,2,55,4,2,3,2,3,1,7,108,2,3,0,1,0,0,0,2,1,2,1,5,144
116,76679894,2,58,3,2,3,4,3,2,7,90,2,1,0,1,0,0,0,1,0,2,1,10,216
117,99030960,2,31,2,2,3,3,2,4,7,88,1,1,0,1,0,0,0,1,1,2,1,5,240
118,22908824,1,33,1,1,1,2,1,2,7,77,3,1,1,0,0,0,1,0,1,2,0,0,123
119,95121154,1,41,4,3,2,1,2,1,7,1,4,2,0,1,0,0,0,1,1,2,1,5,248
120,93260803,1,38,1,3,3,1,3,2,7,28,5,1,1,1,0,0,0,0,1,2,1,25,217
121,65748594,1,24,3,1,3,4,3,2,5,49,1,2,0,0,0,0,0,0,0,2,1,5,234
122,70197598,2,63,2,1,3,4,2,1,7,35,3,1,0,1,1,1,2,1,1,2,1,5,120
123,75393812,1,58,3,3,3,2,1,2,5,71,2,3,0,1,0,0,0,1,1,2,0,0,158
124,35573319,1,26,1,3,3,4,2,2,6,31,2,1,1,1,0,0,0,2,1,2,0,0,168
125,15775355,2,20,4,3,1,2,1,2,7,30,3,1,1,2,0,0,0,0,1,2,1,20,130
126,20372189,1,44,4,4,2,3,1,3,7,5,1,1,0,1,0,0,0,0,1,2,1,5,203
127,14138784,1,38,4,2,3,4,1,2,7,98,3,3,1,1,1,1,0,1,1,2,1,15,181
128,75668801,1,64,2,3,2,3,3,1,7,0,1,1,1,1,0,0,0,1,1,2,1,15,165
129,85923736,1,29,3,1,1,3,2,1,7,99,2,2,0,1,1,0,0,2,1,2,1,20,186
130,91219,2,35,1,3,3,1,2,2,7,98,4,1,0,1,0,0,0,0,1,2,1,10,130
131,45482058,2,53,1,4,2,3,1,2,7,7,1,1,0,1,0,0,0,1,1,2,1,20,118
132,91798772,2,38,4,1,1,4,3,4,7,1,3,1,1,1,0,0,0,1,0,2,0,0,123
133,52430955,1,22,3,3,2,3,3,1,7,-1,1,2,0,1,0,0,1,1,1,2,1,5,195
134,56511978,2,47,3,4,1,1,2,2,7,7,1,2,0,1,1,1,0,1,1,2,0,0,109
135,4371916,1,69,2,4,4,3,1,2,7,0,1,2,1,1,0,0,0,2,0,2,1,10,162
136,61280116,1,25,1,1,4,3,1,4,7,-2,1,1,0,1,0,0,2,1,1,2,1,25,179
137,8903936,1,22,2,3,3,2,3,3,7,6,4,1,0,1,1,1,1,1,1,2,1,20,242
138,49894109,2,57,1,1,2,2,3,1,7,4,1,1,0,1,0,0,0,0,0,2,1,15,244
139,36479325,1,68,3,4,4,3,3,2,7,0,2,2,1,1,0,0,0,2,1,2,1,30,148
140,95145544,1,27,1,2,4,4,1,1,7,43,2,2,1,0,1,1,1,2,0,2,0,0,176
141,78688371,1,24,2,1,1,3,3,2,7,78,1,1,0,1,0,0,0,1,0,2,1,20,103
142,50136772,1,61,3,4,2,4,1,4,7,93,4,1,0,1,1,0,0,1,1,2,1,20,122
143,8142106,2,36,4,2,2,4,1,1,7,108,3,2,1,1,0,0,2,1,1,2,1,20,133
144,12737635,1,38,2,2,2,3,1,1,7,29,4,1,1,1,0,0,1,1,1,2,0,0,158
145,70828688,2,70,4,1,3,2,1,1,7,63,2,1,0,1,0,0,0,1,0,2,1,40,227
146,45133192,2,38,3,1,3,1,1,1,7,38,1,2,0,1,1,0,0,1,0,2,1,25,114
147,60357244,2,58,3,4,2,3,3,1,7,89,1,1,0,1,0,0,1,1,1,2,1,25,223
148,20431537,2,26,1,1,1,3,3,1,6,33,2,2,0,1,0,0,0,2,1,2,1,30,201
149,85494342,2,37,3,1,2,1,2,1,5,92,3,3,1,0,0,0,1,1,0,2,1,5,191
150,11120982,1,45,4,4,1,3,1,4,7,93,5,1,0,0,0,0,1,1,1,2,1,5,190
151,51131903,2,29,4,3,2,4,3,1,7,28,2,1,2,1,0,0,0,0,1,2,1,20,115
152,89674363,1,25,3,1,4,1,1,1,3,100,2,2,0,0,0,0,1,0,1,2,0,0,176
153,23053437,1,54,4,1,3,1,2,1,7,26,1,1,1,1,1,0,1,0,0,2,1,40,160
154,6558091,2,18,2,4,3,3,2,2,7,6,3,1,1,1,0,0,0,2,1,2,1,10,150
155,10383391,2,54,4,1,3,1,2,2,7,80,1,2,1,1,1,0,1,1,0,2,1,5,157
156,79042826,2,33,4,3,2,4,3,1,7,93,2,3,0,1,0,0,0,1,1,2,1,10,188
157,24397112,1,35,3,1,3,3,2,1,7,109,1,1,1,1,0,0,0,1,1,2,0,0,186
158,57110940,2,58,3,2,1,3,2,1,7,95,2,2,0,0,1,1,0,2,1,2,0,0,172
159,58986042,2,24,4,1,2,2,1,3,7,76,2,2,0,0,0,0,1,1,1,2,1,20,244
160,28336528,1,40,4,2,4,1,1,1,7,114,1,1,1,1,0,0,0,1,0,2,1,20,241
161,52268748,1,29,1,2,4,1,2,2,7,109,2,2,1,1,0,0,0,1,1,2,1,10,193
162,30401013,2,37,4,4,3,2,3,1,7,50,1,2,0,1,0,0,0,0,1,2,1,20,151
163,45608680,2,34,2,1,3,4,3,3,7,91,3,2,0,1,0,0,0,0,1,2,1,10,127
164,68485421,2,62,2,1,3,3,3,3,7,78,2,3,0,0,0,0,0,2,1,2,1,5,184
165,33603045,2,50,2,1,3,3,2,2,7,82,4,2,0,1,1,1,0,0,0,2,1,30,181
166,14999192,1,56,4,1,1,2,1,3,7,48,1,2,0,1,1,1,1,1,1,2,1,5,145
167,98707595,1,43,2,3,1,3,2,1,7,110,2,1,0,1,0,0,0,0,1,2,1,20,229
168,13605689,1,27,1,1,1,3,2,1,7,-1,3,2,0,1,0,0,1,1,0,2,0,0,150
169,10893318,1,23,4,1,1,1,3,1,7,1,1,3,0,1,0,0,0,0,0,2,1,5,203
170,90856125,1,27,1,1,1,1,1,1,7,6,2,1,0,1,1,0,1,1,0,2,0,0,173
171,3777304,2,23,3,3,2,1,3,1,7,97,3,2,1,1,1,0,0,1,1,2,1,15,154
172,28290541,1,21,4,1,2,2,3,2,7,93,2,2,0,1,0,0,2,1,0,2,1,20,115
173,31585233,1,69,2,1,4,3,1,1,6,47,5,3,1,0,1,0,0,1,1,2,1,20,126
174,7941843,1,25,1,1,4,3,2,1,7,65,3,1,0,0,0,0,0,0,1,2,1,20,233
175,83263158,1,33,2,1,4,3,3,1,7,103,2,1,0,1,1,0,0,1,1,2,1,10,122
176,51480633,2,50,3,1,2,4,2,3,7,25,3,2,1,1,0,0,0,0,0,2,1,25,154
177,42398549,1,41,3,1,3,3,1,4,7,30,3,2,0,0,0,0,0,1,1,2,1,15,187
178,68883489,2,31,1,1,1,2,1,2,7,96,2,2,0,0,1,1,0,1,1,2,1,5,167
179,72085848,1,26,1,1,2,3,3,3,7,101,5,2,0,1,1,1,0,1,1,2,1,10,204
180,98680910,2,68,2,2,2,1,3,3,7,65,3,1,1,0,1,1,0,2,1,2,0,0,128
181,54747143,2,50,1,3,2,3,2,2,6,84,2,2,2,0,0,0,0,1,1,2,1,5,246
182,29635766,1,35,1,4,3,3,3,2,7,256,3,1,0,1,0,0,0,2,0,2,1,30,211
183,80776785,1,31,4,1,1,1,2,3,7,108,4,2,0,0,0,0,2,1,0,2,1,25,135
184,3897824,1,34,3,4,4,2,2,3,5,91,1,3,2,1,1,1,2,2,0,2,1,20,117
185,57380074,2,26,4,3,2,1,3,1,7,111,3,2,0,1,0,0,0,1,0,2,1,5,146
186,20431534,1,48,2,1,1,3,3,1,7,99,1,1,0,1,1,0,1,0,1,2,0,0,165
187,86100499,1,51,1,4,1,3,3,2,7,31,2,3,1,0,0,0,0,1,0,2,0,0,121
188,28653232,2,27,3,1,3,1,1,1,7,96,2,1,0,0,0,0,0,0,0,2,1,40,166
189,83742408,1,40,2,2,3,1,1,3,7,77,2,1,0,1,1,0,0,1,1,2,1,20,152
190,82466505,2,67,3,2,3,2,2,1,7,89,2,3,0,1,0,0,0,1,1,2,1,15,126
191,62983381,1,33,2,1,2,2,1,1,7,110,3,1,1,1,0,0,0,1,1,2,0,0,119
192,24210202,1,23,1,2,2,3,1,1,7,64,4,2,0,1,1,1,1,1,0,2,0,0,122
193,59850145,2,61,3,4,2,3,3,1,5,66,5,1,1,1,0,0,0,1,1,2,1,20,196
194,98347850,2,32,1,1,2,3,2,1,7,54,5,3,2,1,1,0,0,2,1,2,0,0,249
195,43019100,2,19,1,4,3,3,2,1,7,20,3,1,0,0,0,0,0,1,1,2,1,40,226
196,99276903,1,33,3,1,1,1,3,1,7,7,2,3,0,1,1,1,0,1,1,2,1,30,228
197,30557290,1,44,3,2,4,2,2,3,7,5,1,2,1,1,1,0,1,1,1,2,0,0,135
198,12469720,1,51,4,4,2,1,1,1,7,-1,5,1,0,1,0,0,0,1,0,2,0,0,128
199,19440779,2,51,4,1,3,3,1,3,7,-3,3,2,0,0,1,0,0,1,1,2,0,0,196
200,2239154,1,20,2,4,2,1,3,1,7,-1,4,1,0,1,0,0,1,1,1,2,1,10,162
201,49997740,1,56,3,3,1,2,1,2,7,6,1,1,0,1,1,1,0,1,0,2,1,5,166
202,34383826,2,63,2,2,2,2,1,1,7,65,1,2,0,1,1,0,0,2,1,2,1,25,112
203,816322,2,18,4,2,3,4,1,2,7,86,2,3,0,0,0,0,0,0,1,2,1,5,230
204,82941308,1,55,2,1,1,1,2,1,7,-1,4,3,1,1,1,0,2,0,1,2,1,5,243
205,40910263,2,65,4,3,3,1,3,1,5,42,2,1,1,0,1,0,0,1,1,2,1,20,199
206,20209191,1,51,4,1,1,3,3,3,4,85,2,2,1,0,0,0,0,1,1,2,1,10,139
207,85349504,2,68,1,4,3,1,1,1,7,53,1,2,0,1,0,0,0,0,1,2,0,0,222
208,78481765,1,54,2,4,1,1,1,3,3,289,3,2,0,1,0,0,0,1,1,2,1,20,202
209,89006080,1,18,2,3,2,4,2,1,7,111,2,2,1,0,0,0,1,2,1,2,1,20,168
210,86495634,1,23,3,4,1,3,2,1,7,67,2,3,1,1,1,0,0,1,1,2,1,20,240
211,6624391,1,45,3,1,1,4,2,1,7,6,2,1,1,1,0,0,0,1,0,2,1,25,202
212,55512908,2,68,2,2,3,2,2,2,7,-1,5,2,0,1,0,0,0,1,1,2,1,10,102
213,55385979,1,35,4,1,2,3,3,4,5,109,1,1,1,1,1,1,1,0,1,2,1,25,220
214,380789,1,53,2,1,2,3,3,2,7,3,2,2,0,1,0,0,1,1,1,2,1,5,225
215,25098291,1,60,2,2,4,2,2,3,7,80,2,2,0,1,1,0,0,0,1,2,1,30,159
216,86358355,2,31,4,1,1,3,1,3,6,102,2,1,0,1,1,1,0,1,1,2,1,10,247
217,6248351,1,42,4,1,2,4,1,1,7,-1,1,1,0,1,1,0,1,1,1,2,1,20,192
218,72056647,1,28,4,2,3,2,3,1,7,0,2,2,0,1,0,0,0,1,1,2,1,20,150
219,65779205,1,67,2,3,3,3,2,1,7,0,1,2,0,1,1,0,1,1,1,2,1,10,126
220,54631509,1,39,2,1,1,1,2,2,7,-1,2,1,0,1,0,0,2,1,1,2,0,0,173
221,15615566,1,25,1,3,4,3,2,4,5,98,2,2,0,1,1,0,0,1,1,2,0,0,234
222,30552691,1,18,1,1,3,2,2,1,7,112,2,1,1,1,1,1,0,1,0,2,1,5,243
223,36123322,1,40,3,3,1,1,1,1,4,279,2,3,0,0,0,0,0,0,1,2,1,10,179
224,69945654,1,18,4,4,2,4,3,4,7,92,2,2,1,1,0,0,0,2,1,2,0,0,108
225,91794758,2,25,1,1,2,1,3,3,7,391,1,2,1,0,0,0,0,1,0,2,1,10,116
226,95680707,2,47,3,1,2,3,1,3,7,30,2,2,1,0,0,0,0,1,0,2,1,20,247
227,48783306,1,50,2,1,2,3,3,3,7,79,3,2,0,1,1,0,0,1,1,2,1,15,114
228,63229118,2,42,3,1,2,2,1,1,7,99,2,2,0,1,0,0,0,0,1,2,1,5,191
229,91902144,1,33,3,3,3,3,3,2,7,98,1,3,0,1,0,0,0,1,0,2,1,40,106
230,66735769,1,21,2,1,3,3,2,1,7,16,2,3,0,1,1,0,0,1,1,2,1,10,230
231,86450009,2,24,2,1,2,3,1,2,7,66,1,2,0,1,0,0,1,2,1,2,1,10,161
232,54849806,2,46,4,2,3,3,3,1,7,11,2,2,2,1,1,0,1,2,1,2,0,0,247
233,11537366,1,33,3,4,3,2,1,1,6,76,2,1,1,1,0,0,0,2,1,2,1,40,111
234,87773103,2,55,4,2,2,2,1,4,6,20,1,2,1,1,0,0,1,1,1,2,1,10,179
235,74188009,1,68,4,1,4,2,1,1,6,43,5,2,1,1,0,0,1,1,1,2,1,20,234
236,96301918,2,29,4,3,4,2,3,2,7,76,5,2,1,1,0,0,1,0,0,2,1,5,141
237,92394493,2,39,2,4,4,3,2,2,6,15,2,1,0,1,0,0,0,1,0,2,1,20,156
238,42657112,1,46,3,1,4,1,1,1,6,102,2,2,0,1,1,0,0,0,1,2,1,15,232
239,41168421,2,62,3,4,2,4,2,1,7,15,1,2,2,1,0,0,0,0,1,2,0,0,132
240,35082664,2,36,4,1,1,1,2,4,7,10,2,2,0,1,0,0,1,1,0,2,1,25,113
241,46502728,2,22,2,4,3,3,3,1,7,76,3,2,2,1,1,1,0,2,1,2,1,10,174
242,51861124,2,23,4,2,4,2,3,2,7,88,5,3,2,1,0,0,0,1,1,2,1,10,217
243,27735758,2,46,3,4,2,2,2,1,7,89,3,1,0,1,0,0,2,2,1,2,0,0,244
244,99684453,2,67,1,1,4,3,2,1,7,89,2,2,0,1,0,0,0,1,1,2,1,30,245
245,23404317,1,51,2,2,2,3,2,1,7,365,1,2,0,0,0,0,0,1,0,2,1,10,171
246,17453851,1,41,4,1,2,1,3,1,7,248,5,2,0,0,0,0,0,0,1,2,1,5,247
247,84880360,1,43,3,1,4,3,1,2,5,67,2,1,0,0,0,0,0,0,1,2,1,15,239
248,70812295,2,57,3,1,2,3,3,3,7,7,1,3,0,1,1,0,1,0,1,2,1,5,225
249,83527596,2,58,1,4,1,1,3,1,7,21,3,2,0,1,1,1,1,1,1,2,1,10,231
250,72371630,1,37,1,3,3,2,3,1,7,90,4,2,0,1,0,0,0,1,1,2,0,0,182
251,32186266,1,69,4,1,1,1,2,4,7,19,2,1,1,1,0,0,0,1,0,2,1,20,202
252,20964898,2,38,2,3,1,3,1,2,7,9,2,1,0,1,0,0,0,1,0,2,1,25,209
253,30200798,2,39,1,1,3,4,2,1,7,2,1,3,0,1,0,0,0,1,1,2,1,20,201
254,21487036,1,41,3,4,1,3,2,1,7,12,1,3,2,0,0,0,0,1,1,2,1,5,107
255,38263951,1,48,4,3,1,3,3,1,7,107,2,1,0,1,0,0,1,0,1,2,1,15,160
256,84434442,2,62,4,1,3,3,3,1,7,90,2,2,0,1,0,0,0,0,1,2,1,20,212
257,20693688,1,25,1,4,3,3,3,1,7,36,2,2,0,1,0,0,0,0,0,2,1,20,136
258,40467676,1,58,2,1,1,1,1,1,7,20,4,1,0,1,1,1,0,1,1,2,1,20,125
259,71008450,2,59,2,2,1,3,2,1,7,105,1,2,0,1,0,0,0,0,0,2,1,10,196
260,31931907,1,59,1,3,2,2,1,1,7,29,1,1,0,2,0,0,1,0,1,2,1,5,149
261,57199759,2,66,2,2,3,1,1,2,7,28,1,1,0,2,0,0,0,1,0,2,1,25,237
